Date,Warwick Week No,W. Day,Time,Time (2nd show),Film,Subtitled,Film Type,Time to Chase,Distributor,PoC,Film Status,Minimum Gurantee,Terms,Additional Notes,SU Tickets Done?,BOR,Invoice sent for payment?,Remittance Sent?,Status,Remittance Email,Poster,Trailer
25/09/2022,0,Sunday,19:00,20:00,Test 1,No,DCP,,A24,,,,,,,,,,,NO EMAIL :( // A24,,
25/09/2022,0,Sunday,18:00,14:00,Test 2,No,DCP,No,A24,,,0,0%,,,,,,,NO EMAIL :( // A24,,
25/09/2022,0,Sunday,21:00,,Test 3,No,DCP,No,A24,,,0,0%,,,,,,,NO EMAIL :( // A24,,
,,,,,,,,,,,,,,,,,,,,BoxOfficeReturns.UK@warnerbros.com,,
,,,,,,,,,,,,,,,,,,,,DWSS.EMEA.CashApps@Disney.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Wild Bunch,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independent Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,UK_Theatrical_Finance@spe.sony.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,DWSS.EMEA.CashApps@Disney.com,,
,,,,,,,,,,,,,,,,,,,,uk_boxoffice@paramount.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independent Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,DWSS.EMEA.CashApps@Disney.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independent Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
,,,,,,,,,,,,,,,,,,,,UK_Theatrical_Finance@spe.sony.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,returns@lionsgatefilms.co.uk,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,boxofficereturns@vertigofilms.com,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,remittance@entertainment-film.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,DWSS.EMEA.CashApps@Disney.com,,
,,,,,,,,,,,,,,,,,,,,jinsun.kim@curzon.com,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independant Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,bookings.films@bfi.org.uk,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,BoxOfficeReturns.UK@warnerbros.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independant Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independant Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Alex Independant Pictures Ltd,,
,,,,,,,,,,,,,,,,,,,,finance@parkcircus.com,,
,,,,,,,,,,,,,,,,,,,,bookings.films@bfi.org.uk,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Filmbank,,
,,,,,,,,,,,,,,,,,,,,NO EMAIL :( // Janus Films,,
,,,,,,,,,,,,,,,,,,,,UniversalPicturesUKandEire.Finance@nbcuni.com,,
